timestamp,nb_images,nb_processes,total_time (s),time_per_image (s)
2025-03-18 10:36:58,1,2,0.000,0.000
2025-03-18 10:37:01,5,2,3.877,0.775
2025-03-18 10:37:13,10,2,11.592,1.159
2025-03-18 10:37:38,20,2,24.491,1.225
2025-03-18 10:38:24,37,2,46.479,1.256
