timestamp,nb_images,nb_processes,total_time (s),time_per_image (s)
2025-03-18 10:38:38,1,6,0.000,0.000
2025-03-18 10:38:38,5,6,0.000,0.000
2025-03-18 10:38:42,10,6,3.947,0.395
2025-03-18 10:38:48,20,6,6.087,0.304
2025-03-18 10:38:59,37,6,11.090,0.300
