timestamp,nb_images,nb_processes,total_time (s),time_per_image (s)
2025-03-18 10:39:22,1,8,0.000,0.000
2025-03-18 10:39:22,5,8,0.000,0.000
2025-03-18 10:39:24,10,8,2.681,0.268
2025-03-18 10:39:31,20,8,6.219,0.311
2025-03-18 10:39:41,37,8,10.846,0.293
